n,B_T,C_eps,S_T,gap
20,0.0,0.13333333333333333,0.2040742451777691,0.34130314698506825
30,0.0,0.1,0.1574644554770876,0.17038181891166893
50,0.30000000000000004,0.06666666666666667,0.13327465160725366,0.04814003750426899
70,0.06666666666666665,0.0,0.1278422321794311,0.034544458053027756
100,0.0,0.03333333333333333,0.13201530255703253,0.0623817771686289
130,0.9,0.13333333333333333,0.09783375921276191,0.0030482190725845595
180,1.0,0.1,0.09371236728543315,0.0062050259310543684
250,0.9666666666666667,0.1,0.08580637328020958,0.0006746759971772293
350,0.8666666666666667,0.2,0.09262624224791374,0.0018352951211381696
500,0.5333333333333333,0.03333333333333333,0.09923076825122701,0.0029075953026585395
700,1.0,0.0,0.08469405602192133,0.0006841355016886166
1000,0.8333333333333334,0.06666666666666667,0.08898010253492085,0.0011191647165865442
1500,0.8333333333333334,0.16666666666666666,0.09002041025045851,-0.0001624617983009627
